#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: http://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  http://szs.wiimm.de/r/wiki/BMG
#
#------------------------------------------------------------------------------
# Parameters begin with '@'. Unknown parameters are ignored on scanning.

# Size of each element of section 'INF0' (MKW: 8).
# Set it first, because it defines defaults for other parameters.
@INF-SIZE = 0x14

# Default attribute values for this BMG (MKW: [1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#------------------------------------------------------------------------------

     0 [/,,,d//,,,1] = NPC_tel.gmm
     1	= \z{a08,c00020014}
     2	= \z{e08,12,5000300030003}
     3 [/,,,f] = Mmm...\z{606,1} Parece que ahora\n
	+ mismo no puedes usar el\n
	+ teléfono\z{806,5}.\z{806,5}.\z{806,5}.
     4	= Bueno.\z{606,1} ¡Pues hasta\n
	+ la próxima!
     5	= ¡Hola, \z{605,0}!\z{606,1}\n
	+ ¿Qué puedo hacer por ti?
     6	= ¿Algo más?
     7	= ¿En qué idioma prefieres\n
	+ que hable todo el mundo?\z{c07,1000800080008}\n
	+ En animalés\n
	+ En bebebés\n
	+ En silencio
     8	= \z{8ff,200}\z{1204,101005600,4f00490043004500} \z{8ff,0}suena así...\n
	+ ¿Te gusta?\z{a07,400060009}\n
	+ Sí\n
	+ No...
     9 [,7] = Bien, desde el principio\z{806,5}.\z{806,5}.\z{806,5}.
     a	= ¿Qué tal se te da leer\n
	+ \z{8ff,200}kanji\z{8ff,0}? ¿Prefieres limitarte\n
	+ al \z{8ff,200}hiragana\z{8ff,0}?\z{a07,c000b}\n
	+ Kanji está bien\n
	+ Solo hiragana, sí
     b [,d] = ¡Bien! ¡Usaremos kanji!
     c [,d] = ¡Pues usaremos solo\n
	+ hiragana entonces!
     d	= Dime\z{806,5}.\z{806,5}.\z{806,5}. ¿Qué tipo de\n
	+ teclado quieres usar?\z{a07,e000f}\n
	+ De computadora\n
	+ De celular
     e [,6] = Tipo \z{8ff,200}teclado de\n
	+ computadora\z{8ff,0}. ¡Muy bien!
     f [,6] = Tipo \z{8ff,200}teléfono celular\z{8ff,0}.\n
	+ ¡Bien!
    10	= ¿Quieres activar las ayudas\n
	+ para los iconos y las\n
	+ ventanas de los menús?\z{a07,400110012}\n
	+ ¡Sí, por favor!\n
	+ No, gracias
